ID,Name,Alt. name,Karmn,RA_J2015.5,DE_J2015.5,d_pc,ed_pc,Ref_d,SpT,SpTnum,COMMENTS,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref19,u_mag,eu_mag,Ref20,BT_mag,eBT_mag,Ref21,B_mag,eB_mag,Ref22,g_mag,eg_mag,Ref23,BPmag,e_BPmag,Ref_24,VT_mag,eVT_mag,Ref25,V_mag,eV_mag,Ref26,Gmag,e_Gmag,Ref_27,r_mag,er_mag,Ref28,i_mag,ei_mag,Ref29,RPmag,e_RPmag,Ref_30,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qflag_2M,Ref31,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,Qflag_W,Ref32,K,M_Ben16,M_Del00,M_adopted,Source,M_mann,eM_mann,Model,Teff,logg,Meta.,Lbol,Lberr
56,K2-137,EPIC 228813918,,12:27:28.90,-06:11:42.8,99.2,0.6,GDR2,M3V,3,,,,,,,,,,,,,17.007,0.09,UCAC4,16.289,0.04,UCAC4,14.4345,6E-04,GDR2,,,,15.498,0,UCAC4,14.4345,6E-04,GDR2,14.92,0.02,UCAC4,13.719,0.01,UCAC4,13.2939,0.0018,GDR2,11.764,0.026,11.126,0.022,10.882,0.023,AAA,2MASS,10.705,0.024,10.65,0.02,10.647,0.096,8.368,,AAAU,WISE,5.9004,0.5132,0.4704,0.5132,Ben16,0.4605,0.0114,bt-settl-cifist,3500,4.5,0,0.02830447,6.1330537E-04
57,K2-154,EPIC 228934525,,12:36:00.36,-02:40:10.6,129.8,0.4,GDR2,M0V,0,,,,,,,17.498,0.009,SDSS9,,,,15.436,0.01,UCAC4,14.664,0.01,UCAC4,14.2216,0.0026,GDR2,,,,14.033,0,UCAC4,13.3173,4E-04,GDR2,13.411,0.012,CMC15,12.751,0.05,UCAC4,12.3868,0.0012,GDR2,11.219,0.024,10.519,0.022,10.368,0.019,AAA,2MASS,10.284,0.022,10.354,0.019,10.15,0.07,8.114,,AAAU,WISE,4.801,0.6429,0.7004,0.7004,Del00,0.6301,0.0159,bt-settl-cifist,3900,4.5,0,0.098288655,0.0015994147
58,Ross 1020,GJ 3779,J13229+244,13:22:56.05,+24:27:50.2,13.749,0.012,GDR2,M4.0V,4.0,CARMENES - Public,,,,,,16.412,0.009,SDSS9,,,TYC2,14.574,0.01,UCAC4,13.670,0.010,UCAC4,13.2218,0.0018,GDR2,,,,13.01,0.01,UCAC4,11.6266,0.0008,GDR2,12.427,0.010,UCAC4,10.859,0.01,UCAC4,10.420,0.0011,GDR2,8.728,0.021,8.162,0.05,7.957,0.033,AAA,2MASS,7.738,0.027,7.559,0.02,7.476,0.018,7.345,0.10,AAAA,WISE,7.2657,0.2649,0.2507,0.2649,Ben16,0.2541,0.0071,bt-settl-cifist,3300,4.5,0,0.008221284,1.0475134E-04
59,HD 122303,GJ 536,J14010-026,14:01:02.33,-02:39:08.2,10.412,0.009,GDR2,M1V,1,,22.052,0.186,18.900,0.019,GALEX,15.526,0.008,SDSS9,11.576,0.093,TYC2,11.116,0.05,UCAC4,10.1764,0.1061,PS1,9.9612,0.0046,GDR2,9.979,0.039,TYC2,9.716,0.03,UCAC4,8.8588,0.0014,GDR2,9.281,0.01,UCAC4,8.15,0.02,UCAC4,7.842,0.0026,GDR2,6.516,0.018,5.935,0.036,5.683,0.02,AAA,2MASS,5.592,0.124,5.321,0.052,5.444,0.015,5.301,0.031,BAAA,WISE,5.5953,0.5654,0.5318,0.5654,Ben16,0.5101,0.0124,bt-settl-cifist,3700,4.5,0,0.04335241,7.2119635E-04
60,Proxima Centauri,GJ 551,,14:29:34.43,-62:40:34.3,1.301,0.000,GDR2,M5.5V,5.5,\Gx\S9\C15\PS1,,,,,,,,,,,,10.761,0,UCAC4,11.891,0.01,UCAC4,11.3829,0.0034,GDR2,,,,11.01,0,UCAC4,8.9536,9E-04,GDR2,10.429,0.02,UCAC4,8.404,0.14,UCAC4,7.5864,0.0017,GDR2,5.357,0.023,4.835,0.057,4.384,0.033,AAE,2MASS,4.207,0.331,3.779,0.131,3.838,0.015,3.688,0.025,BBAA,WISE,8.8122,0.1217,0.1202,0.1217,Ben16,0.1238,0.0033,bt-settl-cifist,2800,4.5,0,0.0015368433,3.9461283E-05
61,K2-240,EPIC 249801827,,15:11:23.85,-17:52:31.6,73.1,0.5,GDR2,M0.5V,0.5,RAVE J151123.9-175231 \G5\T2\S9,,,,,,18.153,0.015,SDSS9,,,TYC2,14.849,0.03,UCAC4,14.129,0.020,UCAC4,13.5955,0.0086,GDR2,,,,13.392,0.01,UCAC4,12.6212,0.0019,GDR2,12.784,0.010,UCAC4,11.994,0.050,UCAC4,11.654,0.0040,GDR2,10.394,0.027,9.745,0.02,9.560,0.023,AAA,2MASS,9.469,0.024,9.426,0.02,9.317,0.039,8.551,,AAAU,WISE,5.2417,0.6134,0.6061,0.6061,Del00,0.5657,0.0143,bt-settl-cifist,3800,4.5,0,0.06284208,0.0015373795
62,HO Lib,GJ 581,J15194-077,15:19:25.55,-07:43:21.7,6.299,0.002,GDR2,M3V,3,,,,,,,,,,,,,12.137,0.01,UCAC4,11.367,0.16,UCAC4,10.836,0.0022,GDR2,,,,10.56,0.02,UCAC4,9.411,0.0012,GDR2,10.025,0.05,UCAC4,8.691,0.05,UCAC4,8.2676,0.0022,GDR2,6.706,0.026,6.095,0.033,5.837,0.023,AAA,2MASS,5.743,0.094,5.42,0.028,5.478,0.014,5.35,0.038,AAAA,WISE,6.8406,0.336,0.3081,0.336,Ben16,0.3114,0.0078,bt-settl-cifist,3400,4.5,0,0.012002537,1.6777833E-04
63,K2-286,EPIC 249889081,,15:33:28.76,-16:46:25.4,76.32,0.23,GDR2,M0V,0,,,,,,,,,,,,,14.118,0.020,UCAC4,13.461,0.010,UCAC4,13.0049,0.0016,GDR2,,,,12.763,0.010,UCAC4,12.1652,0.0002,GDR2,12.196,0.020,UCAC4,11.628,0.020,UCAC4,11.2806,0.0012,GDR2,10.127,0.024,9.518,0.022,9.317,0.020,AAA,2MASS,9.258,0.024,9.271,0.020,9.204,0.039,8.935,0.493,AAAC,WISE,0.6398,0.6398,0.6785,0.6785,Del00,0.6155,0.0155,bt-settl-cifist,4000,4.5,0,0.0903623400,0.0012473314
64,MCC 759,GJ 3942,J16090+529,16:09:03.49,+52:56:38.9,16.937,0.006,GDR2,M0V,0,,21.980,0.447,18.845,0.058,GALEX,15.868,0.009,SDSS9,11.993,0.098,TYC2,11.746,0.05,UCAC4,11.045,0.01,UCAC4,10.416,0.0019,GDR2,10.404,0.038,TYC2,10.166,0.04,UCAC4,9.4077,5E-04,GDR2,9.628,0.01,UCAC4,8.856,0.01,UCAC4,8.4432,0.0015,GDR2,7.185,0.02,6.525,0.02,6.331,0.018,AAA,2MASS,6.262,0.081,6.166,0.028,6.166,0.015,6.054,0.036,AAAA,WISE,5.1868,0.6192,0.6178,0.6178,Del00,0.5738,0.0143,bt-settl-cifist,3800,4.5,0,0.06461768,7.3073374E-04
65,USco J161014.7-191909,K2-33,J16102-193,16:10:14.73,-19:19:09.8,139.8,1.5,GDR2,M3V,3,Av=.75 (Mann16),,,,,,19.551,0.046,SDSS9,,,,17.353,0.14,UCAC4,16.403,0.02,UCAC4,15.7451,0.0046,GDR2,,,,15.714,0.01,UCAC4,14.157,9E-04,GDR2,14.822,0.1,UCAC4,13.404,0.08,UCAC4,12.9281,0.0018,GDR2,11.095,0.023,10.332,0.022,10.026,0.019,AAA,2MASS,9.89,0.023,9.762,0.021,9.61,0.049,8.412,,AAAU,WISE,4.2984,0.6131,0.8041,0.8041,Del00,0.7029,0.0197,bt-settl-cifist,3100,4.5,0,0.10193934,0.0031921093
66,LP 804-27,HIP 79431,,16:12:41.82,-18:52:35.1,14.54,0.03,GDR2,M3V,3,large eBT,,,,,,,,,15.767,1.364,TYC2,12.905,0.06,UCAC4,12.081,0.01,UCAC4,11.6327,0.0017,GDR2,11.461,0.138,TYC2,11.401,0.05,UCAC4,10.2351,0.0013,GDR2,10.786,0.02,UCAC4,9.482,0.04,UCAC4,9.1106,0.0014,GDR2,7.555,0.026,6.855,0.044,6.589,0.018,AAA,2MASS,6.508,0.077,6.383,0.026,6.33,0.016,6.108,0.058,AAAA,WISE,5.7764,0.5353,0.4949,0.5353,Ben16,0.4807,0.0115,bt-settl-cifist,3400,4.5,0,0.030184096,5.880557E-04
67,HD 147379,GJ 617A,J16167+672S,16:16:41.42,+67:14:21.1,10.768,0.004,GDR2,M0.0V,0,BEST g & \S9,,,,,,,,,10.347,0.031,TYC2,9.906,0.14,UCAC4,9.956,0.2,UCAC4,8.8199,0.0016,GDR2,8.772,0.015,TYC2,8.896,0.08,UCAC4,7.9005,6E-04,GDR2,8.2334,0.0306,PS1,7.529,0.36,UCAC4,6.9798,0.0019,GDR2,5.779,0.019,5.136,0.034,4.953,0.018,AAA,2MASS,4.914,0.178,4.677,0.095,4.876,0.015,4.804,0.027,BAAA,WISE,4.7924,0.643,0.7022,0.7022,Del00,0.6314,0.0158,bt-settl-cifist,3900,4.5,0,0.0977543,0.00230612
68,MCC 767,GJ 625,J16254+543,16:25:25.39,+54:18:12.1,6.474,0.001,GDR2,M2.0V,2,,,,,,,14.631,0.005,SDSS9,12.34,0.162,TYC2,11.784,0.02,UCAC4,10.991,0.05,UCAC4,10.3693,0.0022,GDR2,10.372,0.039,TYC2,10.066,0.04,UCAC4,9.137,9E-04,GDR2,9.427,0.05,UCAC4,8.483,0.05,UCAC4,8.0691,0.0026,GDR2,6.608,0.02,6.063,0.018,5.833,0.024,AAA,2MASS,5.707,0.148,5.387,0.061,5.465,0.015,5.325,0.028,BAAA,WISE,6.7772,0.3474,0.3175,0.3474,Ben16,0.3206,0.0081,bt-settl-cifist,3500,4.5,0,0.014810723,2.0540529E-04
69,V2306 Oph,GJ 628,,16:30:17.96,-12:40:03.7,4.306,0.001,GDR2,M3.5V,3.5,,,,,,,14.697,0.006,SDSS9,12.342,0.174,TYC2,11.683,0.06,UCAC4,10.845,0.07,UCAC4,10.3432,0.0014,GDR2,10.335,0.04,TYC2,10.101,0.03,UCAC4,8.7944,7E-04,GDR2,9.577,0.02,UCAC4,8.138,0.02,UCAC4,7.6042,8E-04,GDR2,5.95,0.024,5.373,0.04,5.075,0.024,AAA,2MASS,4.971,0.176,4.572,0.094,4.688,0.015,4.554,0.033,BAAA,WISE,6.9044,0.3246,0.2988,0.3246,Ben16,0.3022,0.0076,bt-settl-cifist,3300,4.5,0,0.010823072,1.6385196E-04
70,BD+25 3173,GJ 649,J16581+257,16:58:08.72,+25:44:31.1,10.383,0.003,GDR2,M1.5V,1.5,,21.471,0.281,18.668,0.051,GALEX,14.898,0.007,SDSS9,11.639,0.054,TYC2,11.604,0.99,UCAC4,10.66,0.001,SDSS9,9.9193,0.0014,GDR2,9.845,0.021,TYC2,9.837,0.99,UCAC4,8.8187,4E-04,GDR2,9.053,0,CMC15,8.318,0.001,SDSS9,7.8002,8E-04,GDR2,6.448,0.021,5.865,0.02,5.624,0.016,AAA,2MASS,5.559,0.139,5.343,0.06,5.379,0.015,5.235,0.032,BAAA,WISE,5.5424,0.5735,0.5427,0.5735,Ben16,0.5185,0.0125,bt-settl-cifist,3700,4.5,0,0.043439623,4.6242875E-04
71,LHS 3275,GJ 1214,J17153+049,17:15:19.54,+04:57:38.4,14.65,0.04,GDR2,M4.5V,4.5,\U4 \AP BV,,,,,,,,,,,,,,,15.3046,0.0022,PS1,14.9324,0.003,GDR2,,,,,,,13.0089,0.0011,GDR2,14.0214,0.0012,PS1,12.3603,0.018,PS1,11.6962,0.002,GDR2,9.75,0.024,9.094,0.024,8.782,0.02,AAA,2MASS,8.598,0.023,8.442,0.021,8.254,0.024,8.084,0.236,AAAB,WISE,7.953,0.1783,0.1788,0.1783,Ben16,0.1815,0.0045,bt-settl-cifist,3000,4.5,0,0.0038845486,5.038498E-05
72,BD+11 3149,GJ 3998,J17160+110,17:16:00.49,+11:03:22.2,18.16,0.02,GDR2,M1.0V,1,,,,19.935,0.101,GALEX,15.023,0.006,SDSS9,12.534,0.222,TYC2,12.343,0.08,UCAC4,11.547,0.03,UCAC4,11.0949,0.0017,GDR2,11.149,0.085,TYC2,10.844,0.02,UCAC4,9.9834,7E-04,GDR2,10.327,0.14,UCAC4,9.256,0,UCAC4,8.9671,0.0011,GDR2,7.634,0.021,7.02,0.029,6.816,0.016,AAA,2MASS,6.678,0.065,6.588,0.021,6.536,0.017,6.445,0.063,AAAA,WISE,5.521,0.5768,0.5471,0.5768,Ben16,0.5220,0.0126,bt-settl-cifist,3700,4.5,0,0.046739582,0.00123018
73,HD 156384 C,GJ 667C,,17:19:00.25,-34:59:52.0,7.245,0.005,GDR2,M1.5V,1.5,,,,,,,,,,,,,11.873,0.03,UCAC4,11.092,0.03,UCAC4,10.6147,0.0027,GDR2,,,,10.268,0.04,UCAC4,9.3803,7E-04,GDR2,9.735,0.08,UCAC4,8.61,0,UCAC4,8.3113,0.0016,GDR2,6.848,0.021,6.322,0.044,6.036,0.02,AAA,2MASS,5.886,0.058,5.591,0.032,5.704,0.016,5.515,0.042,AAAA,WISE,6.7357,0.355,0.3238,0.355,Ben16,0.3268,0.0080,bt-settl-cifist,3500,4.5,0,0.014945071,2.2527912E-04
74,CD-46 11540,GJ 674,,17:28:40.81,-46:53:56.3,4.550,0.001,GDR2,M2.5V,2.5,\U4\S9\PS1,,,,,,,,,11.381,0.066,TYC2,10.964,0.018,APASS9,10.253,0.014,APASS9,9.6814,0.003,GDR2,9.63,0.024,TYC2,9.507,0,APASS9,8.3306,0.0012,GDR2,,,,7.891,0,APASS9,7.2156,0.0037,GDR2,5.711,0.019,5.154,0.033,4.855,0.018,AAA,2MASS,4.763,0.231,4.312,0.112,4.505,0.015,4.362,0.027,BBAA,WISE,6.5652,0.3869,0.3508,0.3869,Ben16,0.3528,0.0085,bt-settl-cifist,3400,4.5,0,0.016744928,2.974833E-04
75,CD-51 10924,GJ 676A,,17:30:10.77,-51:38:16.0,16.035,0.010,GDR2,M0V,0,\PS1\C14\C15\U4 gr,,,,,,,,,11.472,0.083,TYC2,11.002,0.01,UCAC4,10.278,0,APASS9,9.8338,0.0016,GDR2,9.743,0.03,TYC2,9.918,0.01,UCAC4,8.8652,5E-04,GDR2,9.011,0,APASS9,8.368,0.01,UCAC4,7.9212,0.0019,GDR2,6.711,0.02,6.082,0.024,5.825,0.029,AAA,2MASS,5.8,0.112,5.717,0.047,5.736,0.015,5.62,0.047,BAAA,WISE,4.7997,0.6429,0.7007,0.7007,Del00,0.6304,0.0161,bt-settl-cifist,3900,4.5,0,0.08999685,0.0016252595
76,BD+68 946,GJ 687,,17:36:25.00,+68:20:01.2,4.550,0.001,GDR2,M3.0V,3,BEST g & W_ better,,,,,,15.465,0.021,SDSS9,11.077,0.058,TYC2,11.092,0,UCAC4,10.204,0.0686,PS1,9.4119,0.0038,GDR2,9.327,0.022,TYC2,9.392,0,UCAC4,8.0275,9E-04,GDR2,8.954,0.13,UCAC4,7.666,0.38,UCAC4,6.886,0.0025,GDR2,5.335,0.021,4.766,0.033,4.548,0.021,AEA,2MASS,4.397,0.094,3.763,0.061,4.182,0.015,4.064,0.018,BAAA,WISE_,6.2579,0.4458,0.4033,0.4458,Ben16,0.4017,0.0098,bt-settl-cifist,3400,4.5,0,0.0221078,4.91582E-04
77,CD-44 11909,GJ 682,,17:37:02.65,-44:19:23.7,5.007,0.002,GDR2,M3.5V,3.5,\U4\S9\PS1\C15\AP,,,,,,,,,,,,,,,,,,11.2234,0.005,GDR2,10.896,0.005,TYC2,,,,9.5702,0.0012,GDR2,,,,,,,8.3361,0.0029,GDR2,6.544,0.023,5.917,0.038,5.606,0.02,AAA,2MASS,5.373,0.098,5.117,0.074,5.232,0.023,5.086,0.034,AAAA,WISE,7.1079,0.2900,0.2708,0.2900,Ben16,0.2743,0.0068,bt-settl-cifist,3200,4.5,0,0.008118322,7.665148E-05
78,BD+18 3421,GJ 686,,17:37:54.36,+18:35:45.4,8.159,0.002,GDR2,M1.5V,1.5,NEW 2019,,,19.073,0.046,GALEX,,,,,,,11.063,0.040,UCAC4,10.564,0.150,UCAC4,9.840,0.001,GDR2,,,,9.637,0.120,UCAC4,8.739,0.001,GDR2,9.287,0.400,UCAC4,8.177,0.090,UCAC4,7.723,0.001,GDR2,6.360,0.023,5.790,0.020,5.572,0.020,AAA,2MASS,5.513,0.160,5.192,0.066,5.277,0.015,5.199,0.036,BAAA,WISE,6.0135,0.4923,0.4485,0.4923,Ben16,0.4417,0.0106,bt-settl-cifist,3700,4.5,0,0.027694719,0.0018210311
79,Barnard's star,V2500 Oph,,17:57:48.49,+04:41:40.5,1.827,0.001,GDR2,M3.5V,3.5,B wrong,,,,,,,,,11.683,0.085,TYC2,,,,10.572,0.07,UCAC4,9.8104,0.0031,GDR2,9.776,0.028,TYC2,9.54,0,GDR2,8.1950,0.0020,GDR2,9.288,0.000,UCAC4,7.756,0.040,UCAC4,6.970,0.0019,GDR2,5.244,0.020,4.834,0.034,4.524,0.020,AAA,2MASS,4.358,0.258,3.658,0.23,4.376,0.028,3.969,0.03,BBAA,WISE,8.2153,0.1554,0.0007,0.1554,Ben16,0.1603,0.0040,bt-settl-cifist,3200,4.5,0,0.0035576439,7.176509E-05
80,Kepler-83,KOI-898,,18:48:55.80,+43:39:56.0,405.01,5.23,GDR2,M0V,0.0,No SpT in .eu but Yes in .edu,,,,,,,,,,,,,,,16.968,0.0040,PS1,16.6185,0.0053,GDR2,,,,,,,15.7832,0.0005,GDR2,15.816,0.002,PS1,15.257,0.001,PS1,14.888,0.0019,GDR2,13.737,0.021,13.079,0.023,12.947,0.024,AAA,2MASS,12.880,0.023,12.891,0.024,13.228,,9.595,,AAUU,WISE,4.910,0.6396,0.6772,0.6772,Del00,0.6147,0.0161,bt-settl-cifist,4100,4.5,0,0.091852166,0.0029762096
81,Kepler-446,KOI-2842,,18:49:00.03,+44:55:15.6,96.6,0.5,GDR2,M4V,4,\T2\G\S9\U4\AP,,,,,,,,,,,,,,,18.0709,0.0029,PS1,17.7261,0.012,GDR2,,,,,,,16.3101,8E-04,GDR2,16.8359,0.0033,PS1,15.5929,0.002,PS1,15.1397,0.0022,GDR2,13.591,0.021,13.075,0.026,12.827,0.024,AAA,2MASS,12.709,0.047,12.484,0.045,12.488,0.378,8.93,,AACU,WISE,7.902,0.1834,0.1833,0.1834,Ben16,0.1860,0.0049,bt-settl-cifist,3400,4.5,0,0.0049739946,9.811871E-05
82,Kepler-303,KOI-1515,,18:52:32.51,+43:39:24.1,211.01,0.94,GDR2,M0V,0.0,No SpT in .eu but Yes in .edu,,,,,,,,,,,,16.263,0.08,UCAC4,15.608,0.030,UCAC4,15.1981,0.0031,GDR2,,,,14.946,0.01,UCAC4,14.3960,0.0004,GDR2,14.351,0.040,UCAC4,13.980,0.100,UCAC4,13.521,0.0012,GDR2,12.410,0.022,11.761,0.019,11.596,0.019,AAA,2MASS,11.550,0.023,11.550,0.02,11.224,0.115,9.237,,AABU,WISE,4.974,0.6363,0.6634,0.6634,Del00,0.6053,0.0152,bt-settl-cifist,4100,4.5,0,0.08756187,0.0017981741
83,Kepler-617,KOI-596,,18:54:57.77,+47:30:58.1,174.2,1.0,GDR2,M1V,1.0,No SpT in .eu but Yes in .edu,,,,,,,,,,,,,,,16.271,0.002,PS1,15.8974,0.0048,GDR2,,,,,,,14.8277,0.0007,GDR2,15.076,0.004,PS1,14.210,0.003,PS1,13.801,0.0022,GDR2,12.437,0.024,11.802,0.019,11.573,0.023,AAA,2MASS,11.491,0.023,11.462,0.02,11.191,0.086,9.477,,AAAU,WISE,5.368,0.5983,0.5794,0.5983,Ben16,0.5461,0.0137,bt-settl-cifist,3700,4.5,0,0.051232982,9.207556E-04
84,Kepler-236,KOI-817,,18:55:27.94,+39:53:53.5,291.2,2.3,GDR2,M1V,1.0,No SpT in .eu but Yes in .edu,,,,,,19.529,0.031,SDSS9,,,,17.435,0.01,UCAC4,16.691,0.040,UCAC4,16.3319,0.0042,GDR2,,,,16.131,0.01,UCAC4,15.3743,0.0005,GDR2,15.538,0.010,UCAC4,14.861,0.010,UCAC4,14.408,0.0013,GDR2,13.224,0.024,12.537,0.023,12.312,0.022,AAA,2MASS,12.223,0.023,12.237,0.02,12.252,0.263,9.367,,AABU,WISE,4.991,0.6353,0.6598,0.6598,Del00,0.6028,0.0154,bt-settl-cifist,3900,4.5,0,0.07550547,0.001811768
85,Kepler-235,KOI-812,,19:04:18.98,+39:16:41.7,433.2,6.7,GDR2,M0V,0,\A9 BV & SpT?,,,,,,19.885,0.043,SDSS9,,,,,,,17.299,0.005,SDSS9,16.807,0.005,GDR2,,,,,,,15.9695,6E-04,GDR2,15.972,0.004,SDSS9,15.402,0.004,SDSS9,15.069,0.0018,GDR2,13.952,0.026,13.278,0.023,13.12,0.03,AAA,2MASS,13.013,0.023,13.012,0.026,12.421,,9.033,,AAUU,WISE,4.9364,0.6383,0.6715,0.6715,Del00,0.6107,0.0165,bt-settl-cifist,4100,4.5,0,0.08797254,0.0033770693
86,Kepler-52,KOI-775,,19:06:57.12,+49:58:32.7,324.5,2.4,GDR2,M0V,0.0,No SpT in .eu but Yes in .edu,,,,,,,,,,,,17.108,0.07,UCAC4,16.462,0.010,UCAC4,15.8561,0.0053,GDR2,,,,15.716,0.01,UCAC4,15.0589,0.0007,GDR2,15.071,0.010,UCAC4,14.705,0.010,UCAC4,14.194,0.0014,GDR2,13.153,0.025,12.507,0.032,12.360,0.027,AAA,2MASS,12.268,0.023,12.300,0.02,12.264,0.217,9.256,,AABU,WISE,4.804,0.6428,0.6998,0.6998,Del00,0.6298,0.0162,bt-settl-cifist,4200,4.5,0,0.105302125,0.002533052
87,Kepler-155,KOI-438,,19:13:58.99,+51:04:54.9,296.0,2.3,GDR2,K:V,-5,\T2\G\S9 SpT K: not necessarily -5 (K3 Muirhead),,,,,,,,,,,,15.757,0.25,UCAC4,15.208,0.12,UCAC4,14.9047,0.0023,GDR2,,,,14.601,0.03,UCAC4,14.24,4E-04,GDR2,14.177,0.05,UCAC4,13.66,0.06,UCAC4,13.4704,0.0012,GDR2,12.533,0.033,11.888,0.037,11.805,0.03,EAA,2MASS,11.578,0.023,11.629,0.021,11.503,0.108,9.567,,AAAU,WISE,4.4486,0.6307,0.7740,0.7740,Del00,0.6806,0.0180,bt-settl-cifist,4400,4.5,0,0.17256226,0.0058460366
88,V1428 Aql,GJ 752A,J19169+051N,19:16:54.66,+05:09:47.4,5.912,0.002,GDR2,M2.5V,2.5,CARMENES - Public,,,,,,,,,11.007,0.055,TYC2,10.553,0.01,UCAC4,,,,9.3755,0.0024,GDR2,9.341,0.021,TYC2,9.144,0.01,UCAC4,8.0976,0.0011,GDR2,8.572,0.000,CMC15,,,,6.994,0.0021,GDR2,5.583,0.03,4.929,0.027,4.673,0.02,AAA,2MASS,4.466,0.076,3.930,0.05,4.375,0.014,4.271,0.03,BBAA,WISE_,5.8145,0.5286,0.4873,0.5286,Ben16,0.4745,0.0115,bt-settl-cifist,3500,4.5,0,0.032581307,3.950324E-04
89,Kepler-138,KOI-314,,19:21:31.54,+43:17:35.0,67.0,0.1,GDR2,M1V,1,,,,,,,,,,,,,14.621,0.05,UCAC4,13.87,0.06,UCAC4,13.4098,0.0022,GDR2,,,,13.168,0.03,UCAC4,12.4715,2E-04,GDR2,12.529,0.06,UCAC4,11.943,0.04,UCAC4,11.5274,0.001,GDR2,10.293,0.022,9.68,0.018,9.506,0.011,AAA,2MASS,9.378,0.023,9.355,0.019,9.261,0.03,9.384,,AAAU,WISE,5.3759,0.5972,0.5776,0.5972,Ben16,0.5449,0.0132,bt-settl-cifist,3900,4.5,0,0.057568584,7.5415266E-04
90,LSPM J1928+4437,Kepler-42,,19:28:52.70,+44:37:02.5,40.11,0.06,GDR2,M4V,4,\T2,,,,,,,,,,,,18.121,0.01,UCAC4,17.02,0.11,UCAC4,16.4535,0.0058,GDR2,,,,16.202,0.01,UCAC4,14.9931,5E-04,GDR2,15.564,0.08,UCAC4,14.375,0.07,UCAC4,13.8112,0.0015,GDR2,12.177,0.021,11.685,0.018,11.465,0.018,AAA,2MASS,11.257,0.023,11.065,0.02,10.935,0.077,9.007,,AAAU,WISE,8.449,0.1395,0.1413,0.1395,Ben16,0.1442,0.0035,bt-settl-cifist,3400,4.5,0,0.002901061,3.5558805E-05
91,Kepler-49,KOI-248,,19:29:10.68,+40:35:30.5,314.0,2.5,GDR2,M1V,1.0,No SpT in .eu but Yes in .edu,,,,,,,,,,,,17.110,0.01,UCAC4,16.459,0.02,UCAC4,16.0970,0.0038,GDR2,,,,15.883,0.02,UCAC4,15.2293,0.0005,GDR2,15.244,0.03,UCAC4,14.671,0.01,UCAC4,14.315,0.0012,GDR2,13.184,0.021,12.487,0.023,12.383,0.023,AAA,2MASS,12.253,0.023,12.285,0.02,12.234,0.318,9.372,,AABU,WISE,4.898,0.6401,0.6797,0.6797,Del00,0.6163,0.0158,bt-settl-cifist,4000,4.5,0,0.09462025,0.0023425794
92,LSPM J1930+4149,Kepler-1649,,19:30:00.71,+41:49:48.0,92.4,0.5,GDR2,M4:V,4,\S9\U4 one PS1 \AP BV REBEL,,,,,,,,,,,,,,,18.1869,0.006,PS1,17.8678,0.0078,GDR2,,,,,,,16.2681,0.001,GDR2,16.9676,0.0053,PS1,15.5488,0.0021,PS1,15.0481,0.0022,GDR2,13.379,0.023,12.852,0.02,12.589,0.026,AAA,2MASS,12.461,0.024,12.227,0.023,12.085,0.23,9.047,,AABU,WISE,7.7599,0.1987,0.1965,0.1987,Ben16,0.1992,0.0053,bt-settl-cifist,3300,4.5,0,0.005236747,1.0398843E-04
93,Kepler-45,KOI-254,,19:31:29.50,+41:03:51.0,386.0,6.5,GDR2,M1V,1,W W_ sim \U4 \AP BV,,,,,,,,,,,,,,,17.3368,0.0057,PS1,16.9738,0.0058,GDR2,,,,,,,15.9804,9E-04,GDR2,16.1443,0.0053,PS1,15.3925,0.002,PS1,14.9976,0.0031,GDR2,13.749,0.024,13.077,0.025,12.892,0.03,AAA,2MASS,12.805,0.023,12.838,0.024,12.763,0.447,9.09,,AACU,WISE,4.9588,0.6372,0.6667,0.6667,Del00,0.6074,0.0165,bt-settl-cifist,3800,4.5,0,0.08069495,0.0033888647
94,Kepler-231,KOI-784,,19:35:53.61,+50:31:54.7,319.5,3.3,GDR2,M1V,1.0,No SpT in .eu but Yes in .edu,,,,,,,,,,,,17.018,0.01,UCAC4,16.219,0.130,UCAC4,16.2069,0.0040,GDR2,,,,15.893,0.01,UCAC4,15.3896,0.0006,GDR2,15.249,0.010,UCAC4,14.888,0.003,PS1,14.509,0.0040,GDR2,13.405,0.022,12.775,0.023,12.589,0.026,AAA,2MASS,12.535,0.023,12.545,0.02,12.357,0.239,9.104,,AABU,WISE,5.067,0.6300,0.6436,0.6436,Del00,0.5917,0.0154,bt-settl-cifist,4100,4.5,0,0.081761524,0.0026080203
95,Kepler-54,KOI-886,,19:39:05.74,+43:03:22.3,273.8,2.9,GDR2,M1V,1.0,No SpT in .eu but Yes in .edu,,,,,,,,,,,,,,,17.217,0.003,PS1,16.8188,0.0070,GDR2,,,,,,,15.8133,0.0006,GDR2,15.983,0.003,PS1,15.210,0.002,PS1,14.816,0.0017,GDR2,13.508,0.023,12.897,0.024,12.648,0.021,AAA,2MASS,12.573,0.024,12.519,0.02,12.666,0.443,9.448,,AACU,WISE,5.461,0.5856,0.5597,0.5856,Ben16,0.5315,0.0135,bt-settl-cifist,3800,4.5,0,0.047979005,0.0014004315
